[1.473, 1.479]	[2 numbers] [percentage: 0.25%]
[1.483]	[percentage: 0.13%]
[1.485]	[percentage: 0.13%]
[1.4880000000000002]	[percentage: 0.13%]
[1.49, 1.5]	[2 numbers] [percentage: 0.25%]
[1.501]	[percentage: 0.13%]
[1.525]	[percentage: 0.13%]
[1.5319999999999998]	[percentage: 0.13%]
[1.54]	[percentage: 0.13%]
[1.545]	[percentage: 0.13%]
[1.57]	[percentage: 0.13%]
[1.575, 1.584]	[2 numbers] [percentage: 0.25%]
[1.585]	[percentage: 0.13%]
[1.59, 1.6]	[2 numbers] [percentage: 0.25%]
[1.6160000000000003]	[percentage: 0.13%]
[1.62]	[percentage: 0.13%]
[1.625]	[percentage: 0.13%]
[1.636]	[percentage: 0.13%]
[1.655]	[percentage: 0.13%]
[1.66, 1.6640000000000001]	[2 numbers] [percentage: 0.25%]
[1.67]	[percentage: 0.13%]
[1.675]	[percentage: 0.13%]
[1.7]	[percentage: 0.13%]
[1.727]	[percentage: 0.13%]
[1.7280000000000002]	[percentage: 0.13%]
[1.75]	[percentage: 0.13%]
[1.777]	[percentage: 0.13%]
[1.785]	[percentage: 0.13%]
[1.8]	[percentage: 0.13%]
[1.86]	[percentage: 0.13%]
[1.896]	[percentage: 0.13%]
[1.9]	[percentage: 0.13%]
[1.9039999999999997]	[percentage: 0.13%]
[1.96]	[percentage: 0.13%]
[2.0]	[percentage: 0.13%]
[2.05]	[percentage: 0.13%]
[2.07]	[percentage: 0.13%]
[2.073]	[percentage: 0.13%]
[2.075]	[percentage: 0.13%]
[2.098]	[percentage: 0.13%]
[2.1]	[percentage: 0.13%]
[2.125]	[percentage: 0.13%]
[2.128]	[percentage: 0.13%]
[2.15]	[percentage: 0.13%]
[2.2]	[percentage: 0.13%]
[2.204]	[percentage: 0.13%]
[2.242]	[percentage: 0.13%]
[2.275]	[percentage: 0.13%]
[2.288]	[percentage: 0.13%]
[2.3]	[percentage: 0.13%]
[2.35]	[percentage: 0.13%]
[2.37]	[percentage: 0.13%]
[2.375]	[percentage: 0.13%]
[2.388]	[percentage: 0.13%]
[2.4]	[percentage: 0.13%]
[2.427]	[percentage: 0.13%]
[2.444]	[percentage: 0.13%]
[2.46]	[percentage: 0.13%]
[2.488]	[percentage: 0.13%]
[2.496]	[percentage: 0.13%]
[2.5]	[percentage: 0.13%]
[2.513]	[percentage: 0.13%]
[2.6]	[percentage: 0.13%]
[2.7]	[percentage: 0.13%]
[2.704]	[percentage: 0.13%]
[2.73]	[percentage: 0.13%]
[2.77]	[percentage: 0.13%]
[2.79, 2.8]	[2 numbers] [percentage: 0.25%]
[2.83]	[percentage: 0.13%]
[2.9]	[percentage: 0.13%]
[2.9129999999999994]	[percentage: 0.13%]
[2.95]	[percentage: 0.13%]
[3.0]	[percentage: 0.13%]
[3.25]	[percentage: 0.13%]
[3.2509999999999994]	[percentage: 0.13%]
[3.47]	[percentage: 0.13%]
[3.5]	[percentage: 0.13%]
[3.57]	[percentage: 0.13%]
[3.636]	[percentage: 0.13%]
[4.0]	[percentage: 0.13%]
