VDD1,IDD1,IDD2,IDD3,IDD4,IDD5
0.8,0.012064,3.3058e-05,8.567799999999997e-09,3.1338000000000004e-05,2.5223000000000004e-06
0.84,0.01266,4.2206e-05,-2.69658e-08,6.1414e-05,3.2888e-06
0.88,0.013252,5.5132e-05,4.09398e-08,0.000108984,4.1409000000000005e-06
0.92,0.013852,7.2744e-05,-5.11802e-08,0.00017606,5.0922e-06
0.96,0.014456,9.5016e-05,5.65554e-08,0.00026534,6.2941e-06
1.0,0.015052,0.00011768,-5.76156e-08,0.0003742,8.4887e-06
1.04,0.015644,0.00015016,6.457659999999999e-08,0.0004979,1.6570000000000002e-05
1.08,0.016248,0.00018576,-4.13916e-08,0.00063648,2.0512e-05
1.12,0.016836,0.00022476,6.4401999999999985e-09,0.00078782,2.5274e-05
1.16,0.017426,0.00026734,3.8305999999999996e-09,0.00095064,4.0574e-05
1.2,0.018022,0.00031328,-1.7415599999999997e-08,0.00112272,5.0996e-05
1.24,0.018616,0.0003628,1.24478e-08,0.0013036,6.009e-05
1.28,0.0192,0.00041632,-3.3006799999999995e-08,0.0014912,7.0094e-05
1.32,0.01979,0.00047394,4.61912e-08,0.0016854,8.1282e-05
1.36,0.02037,0.00053638,-5.25266e-08,0.0018852,9.3682e-05
1.4,0.020966,0.00060396,5.883859999999999e-08,0.00209,0.000106896
1.44,0.021586,0.00067736,-5.587699999999999e-08,0.0022996,0.00012016
1.48,0.022202,0.00075726,6.445499999999999e-08,0.0025134,0.00013448
1.52,0.022812,0.0008443,-5.66374e-08,0.002732,0.00014936
1.56,0.023426,0.00093902,6.35928e-08,0.002961,0.00016492
1.6,0.024012,0.0010422,-5.06254e-08,0.003188,0.0001816
1.64,0.02462,0.0011638,4.9381e-08,0.003417,0.00019996
1.68,0.025212,0.0012878,-2.86776e-08,0.0036496,0.0002204
1.72,0.025818,0.0014194,2.7186e-08,0.0038846,0.00024326
1.76,0.026416,0.0015602,-4.925779999999999e-08,0.0041226,0.00026902
1.8,0.027024,0.0017082,5.27466e-08,0.004364,0.00029792
1.84,0.027648,0.0018656,-5.705759999999999e-08,0.004608,0.00033032
1.88,0.02831,0.0020336,6.336139999999999e-08,0.0048558,0.0003665
1.92,0.031286,0.0022112,-5.71854e-08,0.0051066,0.00040682
1.96,0.032924,0.0023984,5.99156e-08,0.0053592,0.00045182
2.0,0.033902,0.0025934,-4.51086e-08,0.0056144,0.00050146
