VNN,IDD1,IDD2,IDD3,IDD4,IDD5
1.56,3.07134e-08,-3.6814e-08,-6.181999999999999e-10,0.0108968,0.0078578
1.6,-3.21578e-08,2.63544e-08,1.82018e-08,0.011376,0.0084048
1.64,3.7839999999999993e-08,-1.06966e-08,1.334e-07,0.011876,0.008958
1.68,-3.31926e-08,-1.47438e-08,3.860999999999999e-08,0.01237,0.0095072
1.72,5.4413999999999993e-08,2.92028e-08,1.1942e-07,0.012888,0.0100638
1.76,-5.28038e-08,-4.968319999999999e-08,4.32222e-08,0.013386,0.0106176
1.8,5.47928e-08,5.11096e-08,5.645439999999999e-08,0.01394,0.0111912
1.84,-5.8202e-08,-4.98574e-08,3.19462e-08,0.014498,0.01169
1.88,5.81642e-08,4.66978e-08,7.852e-08,0.015142,0.012234
1.92,-5.67838e-08,-3.74144e-08,1.81492e-08,0.015808,0.012796
1.96,6.1202e-08,1.44284e-08,1.1892e-07,0.016432,0.013134
2.0,-5.57284e-08,-1.5021999999999996e-09,-1.2488e-07,0.017088,0.01374
