VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
-1.12,-4.66004e-08,3.13644e-08,-9.2358e-09,-0.00053756,-6.910400000000001e-05
-1.08,4.64648e-08,-3.9609e-08,4.40994e-08,-0.00042656,-5.1962e-05
-1.04,-4.72614e-08,4.1958e-08,6.873999999999999e-08,-0.00033096,-3.838e-05
-1.0,4.629819999999999e-08,-4.4260599999999993e-08,4.573879999999999e-08,-0.0002501,-2.7898e-05
-0.96,-4.66976e-08,4.43548e-08,3.394e-08,-0.00018366,-2.0024e-05
-0.92,2.01018e-08,-4.45774e-08,5.097999999999999e-10,-0.00013064,-1.4022e-05
-0.88,-5.746e-09,4.34576e-08,-1.33568e-08,-9.063800000000002e-05,-9.6017e-06
-0.84,-2.9115999999999997e-09,-3.88244e-08,6.386e-08,-6.0996e-05,-6.510700000000001e-06
-0.8,1.24464e-08,1.09116e-08,6.198659999999999e-08,-4.0264e-05,-4.144100000000001e-06
-0.76,-2.25908e-08,1.1486e-09,9.816e-08,-2.6406e-05,-2.6007000000000004e-06
-0.72,3.9109e-08,1.6659999999999996e-09,1.7127e-08,-1.7312e-05,-1.7223000000000002e-06
-0.68,-4.39552e-08,7.942199999999998e-09,-3.5182199999999995e-08,-1.1294e-05,-1.1232e-06
-0.64,4.63952e-08,-1.80714e-08,1.32234e-08,-7.2042e-06,-8.6568e-07
-0.6,-4.672e-08,3.02738e-08,-2.78426e-08,-3.9507e-06,-6.8062e-07
-0.56,4.88432e-08,-3.793899999999999e-08,-4.97976e-08,-1.9512e-06,-5.3032e-07
-0.52,-4.45772e-08,3.7574e-08,3.6944799999999993e-08,-1.0437e-06,-4.8644e-07
-0.48,3.82274e-08,-3.5503e-08,-1.52342e-08,-5.1368e-07,-3.2368e-07
-0.44,-2.86244e-08,3.25708e-08,5.837159999999999e-08,-2.3288e-07,-5.0324e-07
-0.4,1.60272e-08,-4.19966e-08,3.708e-08,-1.4824e-07,-1.2858e-07
-0.36,-3.1248e-09,4.195019999999999e-08,2.1065999999999997e-09,-3.7718e-07,-4.2412e-07
-0.32,-5.7512e-09,-4.18614e-08,-1.31228e-08,-2.4504e-07,-1.3574e-07
-0.28,1.5818399999999998e-08,4.504699999999999e-08,6.366e-08,-1.9212e-07,-3.8144e-07
-0.24,-2.78768e-08,-4.43728e-08,-6.719999999999999e-08,-3.6746e-07,-2.2816e-07
-0.2,4.68624e-08,4.47776e-08,-1.1271999999999998e-08,-2.2648e-07,-1.274e-07
-0.16,-4.70536e-08,-4.37104e-08,7.431999999999998e-08,-2.3128e-07,-2.6792e-07
-0.12,4.8114e-08,4.54368e-08,2.70868e-08,-1.2336e-07,-1.824e-07
-0.08,-4.793219999999999e-08,-4.404079999999999e-08,-2.35248e-08,-4.1228e-07,-2.46e-07
-0.04,4.89726e-08,3.49632e-08,-3.66682e-08,-2.3716e-07,-1.2138e-07
